First,Gender
ADOLPHE,Male
ADOLPHUS,Male
ADONAI,Male
ADONIA,Female
ADONIJAH,Male
ADONIS,Male
ADORA,Female
ADORINDA,Female
ADORJÁN,Male
ADRASTEIA,Female
ADRASTOS,Male
ADRIA,Female
ADRIAAN,Male
ADRIAN,Male
ADRIÁN,Male
ADRIANA,Female
ADRIANE,Female
ADRIANNA,Female
ADRIANNE,Female
ADRIANO,Male
ADRIENE,Female
ADRIENN,Female
ADRIENNE,Female
ADWOA,Female
Æ_EL_RY_,Female
Æ_ELBERT,Male
Æ_ELFRID,Male
Æ_ELMÆR,Male
Æ_ELRED,Male
Æ_ELSTAN,Male
AEGLE,Female
ÆLFWINE,Male
AELLA,Female
ÆLRED,Male
AEMILIA,Female
AENEAS,Male
AENGUS,Male
AEOLUS,Male
AERONWEN,Female
AERONWY,Female
ÆSC,Male
AESCHYLUS,Male
AESON,Male
AESOP,Male
AFANASI,Male
AFANASY,Male
AFANEN,Female
AFIA,Female
AFOLABI,Male
AFON,Female
AFONSO,Male
AFRA,Female
AFRICA,Female
AFTON,Female
AFUA,Female
AGAFYA,Female
AGAMEMNON,Male
AGAPE,Female
AGAPIOS,Male
AGATA,Female
AGATHA,Female
AGATHANGELOS,Female
AGATHE,Female
AGATHON,Male
AGAUE,Female
AGGIE,Female
AGHAVNI,Female
ÁGI,Female
AGLAIA,Female
AGLAYA,Female
AGLEA,Female
AGNES,Female
AGNÈS,Female
ÁGNES,Female
AGNESE,Female
AGNESSA,Female
AGNETA,Female
AGNETHE,Female
AGNIESZKA,Female
AGNUS,Female
AGOSTINA,Female
AGOSTINHO,Male
AGOSTINO,Male
ÁGOSTON,Male
ÁGOTA,Female
AGRAFENA,Female
AGRIPINA,Female
AGRIPPA,Male
AGRIPPINA,Female
AGRONA,Female
AGUEDA,Female
ÁGUEDA,Female
AGUSTIN,Male
AGUSTÍN,Male
AGUSTINA,Female
AH,Male
AHAB,Male
AHARON,Male
AHMAD,Male
AHMED,Male
AHMET,Male
AHRIMAN,Male
AHTAHKAKOOP,Male
AHURA MAZDA,Male
AHUVA,Female
AI,Female
AIAS,Male
AIDA,Female
AIDAN,Male
AIDE,Female
AIDEN,Male
AIGNÉIS,Female
AIKATERINE,Female
AIKO,Female
AILBHE,Male
AILEAS,Female
AILEEN,Female
AILENE,Female
AILILL,Male
AILÍN,Male
AILÍS,Female
AILPEIN,Male
AILSA,Female
AIMÉ,Male
AIMEE,Female
AIMÉE,Female
AIMO,Male
AINA,Female
AINDREA,Male
AINDRÉAS,Male
AINDRIÚ,Male
ÁINE,Female
AINGEAL,Female
AINO,Female
AINSLEY,Male
AINSLIE,Male
AINTZANE,Female
AIOLOS,Male
AISHA,Female
AISLIN,Female
AISLING,Female
AISLINN,Female
AITHNE,Female
AITOR,Male
AJA,Female
AJAX,Male
AJEET,Male
AJIT,Male
AJITH,Male
AKAKIOS,Male
AKAMU,Male
AKANKSHA,Female
AKEEM,Male
AKEMI,Female
AKHIL,Male
AKI,Male
AKIKO,Female
AKILAH,Female
AKILINA,Female
AKIM,Male
AKINYI,Female
AKIO,Male
AKIRA,Male
AKIVA,Male
AKONI,Male
AKOSUA,Female
AKSEL,Male
AKSINYA,Female
AKU,Male
AKUA,Female
AKULINA,Female
AL,Male
ALABA,Female
ALAIN,Male
ALAINA,Female
ALAINE,Female
ALAN,Male
ALANA,Female
ALANE,Female
ALANIS,Female
ALANNA,Female
ALANNAH,Female
ALANNIS,Female
ALAOIS,Male
ALARIC,Male
ALASDAIR,Male
ALASTAIR,Male
ALASTAR,Male
ALASTRÍONA,Female
ALAYNA,Female
ALBA,Female
ALBAN,Male
ALBERIC,Male
ALBERT,Male
ALBERTA,Female
ALBERTHA,Female
ALBERTINA,Female
ALBERTINE,Female
ALBERTO,Male
ALBINA,Female
ALBRECHT,Male
ALBY,Male
ALCAEUS,Male
ALCIPPE,Female
ALCYONE,Female
ALDA,Female
ALDEN,Male
ALDO,Male
ALDOUS,Male
ALDRICK,Male
ALEA,Female
ALEASE,Female
ALEC,Male
ALECHJO,Male
ALECIA,Female
ALED,Male
ALEEN,Female
ALEESHA,Female
ALEIDA,Female
ALEISHA,Female
ALEIT,Female
ALEJANDRA,Female
ALEJANDRINA,Female
ALEJANDRO,Male
ALEJO,Male
ALEKSANDAR,Male
ALEKSANDER,Male
ALEKSANDR,Male
ALEKSANDRA,Female
ALEKSANDRINA,Female
ALEKSANDRO,Male
ALEKSANTERI,Male
ALEKSEI,Male
ALEKSI,Male
ALENA,Female
ALENE,Female
ALENKA,Female
ALES,Male
ALESHA,Female
ALESHIA,Female
ALESIA,Female
ALESSA,Female
ALESSANDRA,Female
ALESSANDRO,Male
ALESSIA,Female
ALESSIO,Male
ALETA,Female
ALETHA,Female
ALETHEA,Female
ALETHIA,Female
ALEX,Male
ALEXA,Female
ALEXANDER,Male
ALEXANDR,Male
ALEXANDRA,Female
ALEXANDRE,Male
ALEXANDREA,Female
ALEXANDRIA,Female
ALEXANDRIE,Female
ALEXANDRINA,Female
ALEXANDROS,Male
ALEXANDRU,Male
ALEXEI,Male
ALEXEJ,Male
ALEXIA,Female
ALEXINA,Female
ALEXIS,Female
ALEXIUS,Male
ALEXUS,Female
ALF,Male
ALFEO,Male
ALFHILD,Female
ALFONS,Male
ALFONSINA,Female
ALFONSO,Male
ALFONZO,Male
ALFRED,Male
ALFRÉD,Male
ALFREDA,Female
ALFREDIA,Female
ALFREDO,Male
ALFSIGR,Female
ALGAR,Male
ALGER,Male
ALGERNON,Male
ALI,Male
ALIA,Female
ALIAH,Female
ALICA,Female
ALICE,Female
ALICIA,Female
ALIDA,Female
ALIISA,Female
ALIN,Male
ALINA,Female
ALINE,Female
ALIS,Female
ALISA,Female
ALISE,Female
ALISHA,Female
ALISHIA,Female
ALISIA,Female
ALISON,Female
ALISSA,Female
ALISTAIR,Male
ALISTER,Male
ALISYA,Female
ALITA,Female
ALIYAH,Female
ALIZ,Female
ALIZA,Female
ALLA,Female
ALLAN,Male
ALLANNAH,Female
ALLEEN,Female
ALLEGRA,Female
ALLEGRIA,Female
ALLEN,Male
ALLENA,Female
ALLENE,Female
ALLIE,Female
ALLINE,Female
ALLISON,Female
ALLON,Male
ALLY,Female
ALLYCIA,Female
ALLYSON,Female
ALMA,Female
ALMAS,Female
ALMEDA,Female
ALMETA,Female
ALMIRA,Female
ALMUDENA,Female
ALODIA,Female
ALOIS,Male
ALOISIA,Female
ALOISIO,Male
ALOJZ,Male
ALON,Male
ALONA,Female
ALONDRA,Female
ALONSO,Male
ALONZO,Male
ALOYSIUS,Male
ALP,Male
ALPERTTI,Male
ALPHAEUS,Male
ALPHONSE,Male
ALPHONSINE,Female
ALPHONSO,Male
ALPHONSUS,Male
ALPHONZO,Male
ALPIN,Male
ALTA,Female
ALTAGRACIA,Female
ALTAN,Male
ALTE,Female
ALTER,Male
ALTHA,Female
ALTHEA,Female
ALTON,Male
ALUDRA,Female
ALUN,Male
ALVA,Male
ALVAH,Male
ALVAR,Male
ALVARO,Male
ÁLVARO,Male
ALVENA,Female
ALVERA,Female
ALVERTA,Female
ALVILDA,Female
ALVIN,Male
ALVINA,Female
ALVIS,Male
ALWILDA,Female
ALWYN,Male
ALYA,Female
ALYCE,Female
ALYCIA,Female
ALYONA,Female
ALYS,Female
ALYSA,Female
ALYSE,Female
ALYSHA,Female
ALYSIA,Female
ALYSON,Female
ALYSSA,Female
ALYSSIA,Female
ALYUSHA,Male
ALYX,Female
ALZBETA,Female
AMA,Female
AMABEL,Female
AMADA,Female
AMADEO,Male
AMADEUS,Male
AMADO,Male
AMAL,Female
AMALA,Female
AMALIA,Female
AMÁLIA,Female
AMALRIC,Male
AMALTHEA,Female
AMANDA,Female
AMANDINE,Female
AMANDO,Male
AMANI,Female
AMAR,Male
AMARA,Female
AMARANTA,Female
AMARANTE,Female
AMARDAD,Male
AMARIAH,Male
AMARYLLIS,Female
AMATERASU,Female
AMATO,Male
AMAURY,Male
AMAYA,Female
AMBER,Female
AMBERLY,Female
AMBRA,Female
AMBRE,Female
AMBROGINO,Male
AMBROGIO,Male
AMBROISE,Male
AMBROSE,Male
AMBROSIA,Female
AMBROSINE,Female
AMBROSIO,Male
AMBRUS,Male
AMEDEA,Female
AMÉDÉE,Male
AMEDEO,Male
AMEDEUS,Male
AMEE,Female
AMELIA,Female
AMÉLIA,Female
AMÉLIE,Female
AMEN,Male
AMENHOTEP,Male
AMERICA,Female
AMERICO,Male
AMERIGO,Male
AMETHYST,Female
AMHLAIDH,Male
AMHLAOIBH,Male
AMI,Female
AMIAS,Male
AMICE,Female
AMIE,Female
AMIEE,Female
AMIKA,Female
AMILCAR,Male
AMILIA,Female
AMIN,Male
AMINA,Female
AMINDA,Female
AMINTA,Female
AMIR,Male
AMIRA,Female
AMITA,Female
AMITTAI,Male
AMITY,Female
AMMIE,Female
AMMIEL,Male
AMMON,Male
AMON,Male
AMOS,Male
AMPARO,Female
AMRIT,Male
AMRITA,Female
AMY,Female
AMYAS,Male
AMYNTA,Female
ANA,Female
ANABEL,Female
ANACLETO,Male
ANACLETUS,Male
ANAHID,Female
ANAHITA,Female
ANAÏS,Female
ANAITIS,Female
ANAKIN,Male
ANAKONI,Male
ANALISA,Female
ANAMARIA,Female
ANAN,Male
ANAND,Male
ANANDA,Female
ANANI,Male
ANANIAS,Male
ANANTA,Male
ANANTH,Male
ANANTHA,Male
ANARGYROS,Male
ANARU,Male
ANAS,Male
ANASS,Male
ANASTACIA,Female
ANASTAS,Male
ANASTASIA,Female
ANASTASIE,Female
ANASTASIO,Male
ANASTASIOS,Male
ANASTASIUS,Male
ANASZTÁZ,Male
ANASZTÁZIA,Female
ANAT,Female
ANATOLE,Male
ANATOLI,Male
ANATOLIUS,Male
ANATOLY,Male
ANATU,Female
ANAXAGORAS,Male
ANCA,Female
ANCHJO,Male
ANDELA,Female
ANDER,Male
ANDERA,Female
ANDERS,Male
ANDERSON,Male
ANDOR,Male
ANDRA,Female
ANDRAS,Male
ANDRÁS,Male
ANDRASTE,Female
ANDRE,Male
ANDRÉ,Male
ANDREA,Female
ANDREAS,Male
ANDREE,Female
ANDRÉE,Female
ANDREEA,Female
ANDREI,Male
ANDREIA,Female
ANDREJ,Male
ANDREJA,Female
ANDRES,Male
ANDRÉS,Male
ANDREU,Male
ANDREW,Male
ANDRIA,Female
ANDRIANA,Female
ANDRIES,Male
ANDRIJA,Male
ANDRINA,Female
ANDRIS,Male
ANDRIY,Male
ANDRO,Male
ANDROCLES,Male
ANDROMACHE,Female
ANDROMEDA,Female
ANDRONIKOS,Male
ANDRZEJ,Male
ANDY,Male
ANE,Female
ANEIRIN,Male
ANELIE,Female
ANEMONE,Female
ANETTE,Female
ANEURIN,Male
ANFISA,Female
ANGEL,Male
ANGELA,Female
ÁNGELA,Female
ANGELE,Female
ANGÈLE,Female
ANGELENA,Female
ANGELES,Female
ANGELIA,Female
ANGELIC,Female
ANGELICA,Female
ANGELIKA,Female
ANGELINA,Female
ANGELINE,Female
ANGELIQUE,Female
ANGELITA,Female
ANGELLA,Female
ANGELLE,Female
ANGELO,Male
ANGELOS,Male
ANGELYN,Female
ANGERONA,Female
ANGHARAD,Female
ANGIE,Female
ANGILA,Female
ANGLA,Female
ANGLE,Female
ANGLEA,Female
ANGUS,Male
ANGYALKA,Female
ANH,Female
ANIA,Female
ANIBAL,Male
ANICA,Female
ANICETUS,Male
ANIELA,Female
ANIKA,Female
ANIKETOS,Male
ANIKÓ,Female
ANIMA,Female
ANIRUDDHA,Male
ANISA,Female
ANISE,Female
ANISHA,Female
ANISIM,Male
ANISSA,Female
ANITA,Female
ANITRA,Female
ANJA,Female
ANJALI,Female
ANJANETTE,Female
ANJELICA,Female
ANKA,Female
ANKE,Female
ANKUR,Male
ANN,Female
ANNA,Female
ANNABEL,Female
ANNABELL,Female
ANNABELLA,Female
ANNABELLE,Female
ANNALEE,Female
ANNALISA,Female
ANNAMAE,Female
ANNAMARIA,Female
ANNAMARIE,Female
ANNAS,Male
ANNE,Female
ANNEKA,Female
ANNEKE,Female
ANNELI,Female
ANNELIE,Female
ANNELIESE,Female
ANNELISE,Female
ANNELLE,Female
ANNEMARIE,Female
ANNETT,Female
ANNETTA,Female
ANNETTE,Female
ANNICE,Female
ANNICK,Female
ANNIE,Female
ANNIINA,Female
ANNIKA,Female
ANNIKKI,Female
ANNIS,Female
ANNITA,Female
ANNMARIE,Female
ANNUNCIATA,Female
ANNUNZIATA,Female
ANNUSKA,Female
ANONA,Female
ANOUK,Female
ANOUSH,Female
ANOUSKA,Female
ANRAÍ,Male
ANSEL,Male
ANSELM,Male
ANSELMA,Female
ANSELME,Male
ANSELMO,Male
ANSGAR,Male
ANSHEL,Male
ANSON,Male
ANTAL,Male
ANTANAS,Male
ANTE,Male
ANTERO,Male
ANTHEA,Female
ANTHONY,Male
ANTIGONE,Female
ANTIGONUS,Male
ANTIONE,Male
ANTIONETTE,Female
ANTIOPE,Female
ANTIPATER,Male
ANTJE,Female
ANTO,Male
ANTOINE,Male
ANTOINETTE,Female
ANTON,Male
ANTONE,Male
ANTONELLA,Female
ANTONELLO,Male
ANTONETTA,Female
ANTONETTE,Female
ANTONI,Male
ANTONIA,Female
ANTONIE,Female
ANTONIETTA,Female
ANTONIJA,Female
ANTONINA,Female
ANTONINO,Male
ANTONIO,Male
ANTONIUS,Male
ANTONO,Male
ANTONY,Male
ANTTI,Male
ANTUN,Male
ANTWAN,Male
ANUBIS,Male
ANUNCIACIÓN,Female
ANUPAM,Male
ANUSHKA,Female
ANWAR,Male
ANWEN,Female
ANWER,Male
ANYA,Female
AODH,Male
AODHÁN,Male
AOIBHEANN,Female
AOIBHÍN,Female
AOIDE,Female
AOIFE,Female
AONGHAS,Male
AONGHUS,Male
APHRA,Female
APHRODISIA,Female
APHRODISIOS,Male
APHRODITE,Female
APIKALIA,Female
APOLINAR,Male
APOLLINAIRE,Male
APOLLINARIS,Male
APOLLINARIYA,Female
APOLLINE,Female
APOLLO,Male
APOLLODOROS,Male
APOLLONIA,Female
APOLLONIOS,Male
APOLONIA,Female
APOLONIJA,Female
APOSTOLIS,Male
APOSTOLOS,Male
APPHIA,Female
APPIUS,Male
APRIL,Female
APRYL,Female
AQUILA,Male
ARA,Female
ARABELLA,Female
ARACELI,Female
ARACELIS,Female
ARACELY,Female
ARACHNE,Female
ARAGORN,Male
ARAMINTA,Female
ARAN,Female
ARANKA,Female
ARANRHOD,Female
ARANTXA,Female
ARAS,Male
ARATA,Male
ARAVINDA,Male
ARCADIA,Female
ARCANGELO,Male
ARCELIA,Female
ARCHELAUS,Male
ARCHIBALD,Male
ARCHIE,Male
ARCHIMEDES,Male
ARCHIPPOS,Male
ARDAL,Male
ARDASHIR,Male
ARDATH,Female
ARDELIA,Female
ARDELL,Female
ARDELLA,Female
ARDELLE,Female
ARDEN,Male
ARDGHAL,Male
ARDIS,Female
ARDITH,Female
ARDUINO,Male
ARELI,Male
ARES,Male
ARETHA,Female
ARETHUSA,Female
AREVIG,Female
ARGELIA,Female
ARGENTINA,Female
ARGUS,Male
ARGYRIS,Male
ARGYROS,Male
ARI,Male
ARIA,Female
ARIADNE,Female
ARIANA,Female
ARIANE,Female
ARIANNA,Female
ARIANNE,Female
ARIANRHOD,Female
ARIC,Male
ARICA,Female
ARIE,Female
ARIEL,Male
ARIELLA,Female
ARIELLE,Female
ARIENNE,Female
ARIES,Male
ARIK,Male
ARINA,Female
ARISHA,Female
ARISTA,Female
ARISTIDE,Male
ARISTIDES,Male
ARISTOCLES,Male
ARISTODEMOS,Male
ARISTOMACHE,Female
ARISTON,Male
ARISTOPHANES,Male
ARISTOTLE,Male
ARISU,Female
ARISZTID,Male
ARJAN,Male
ARJUN,Male
ARJUNA,Male
ARKADI,Male
ARKADIOS,Male
ARKADY,Male
ARKELL,Male
ARLA,Female
ARLEAN,Female
ARLEEN,Female
ARLEN,Male
ARLENA,Female
ARLENE,Female
ARLETHA,Female
ARLETTA,Female
ARLETTE,Female
ARLINDA,Female
ARLINE,Female
ARLYNE,Female
ARMAND,Male
ARMANDA,Female
ARMANDINA,Female
ARMANDO,Male
ARMEL,Male
ARMELLE,Female
ARMIDA,Female
ARMIN,Male
ARMINDA,Female
ARMO,Male
ARN,Male
ARNALDO,Male
ARNAU,Male
ARNAUD,Male
ARNAUDE,Female
ARNDT,Male
ARNE,Male
ARNETTA,Female
ARNETTE,Female
ARNIE,Male
ARNITA,Female
ARNOLD,Male
ARNOLDO,Male
ARNULFO,Male
AROHA,Female
AROLDO,Male
ARON,Male
ÁRON,Male
ÁRPÁD,Male
ARRIGO,Male
ARRON,Male
ARSEN,Male
ARSENI,Male
ARSENIOS,Male
ART,Male
ARTAIR,Male
ARTEMIDOROS,Male
ARTEMIS,Female
ARTEMISIA,Female
ARTEMISIOS,Male
ARTHUR,Male
ARTIE,Female
ARTTU,Male
ARTTURI,Male
ARTUR,Male
ARTÚR,Male
ARTURO,Male
ARUNDHATI,Female
ARVEL,Male
ARVID,Male
ARVILLA,Female
ARVO,Male
ARWEN,Female
ARYANA,Female
ARZU,Female
AS'AD,Male
ÅSA,Female
ASA,Male
ASAD,Male
ASAF,Male
ASAPH,Male
ASBJÖRN,Male
ÁSDÍS,Female
ASDRUBAL,Male
ASEEM,Male
ASENATH,Female
ASH,Male
ASHA,Female
ASHANTI,Female
ASHELY,Female
ASHER,Male
ASHERAH,Female
ASHLEA,Female
ASHLEE,Female
ASHLEIGH,Female
ASHLI,Female
ASHLIE,Female
ASHLING,Female
ASHLY,Female
ASHLYN,Female
ASHLYNN,Female
ASHOK,Male
ASHOKA,Male
ASHTAD,Male
ASHTORETH,Female
ASIA,Female
ASIM,Male
ASKLEPIADES,Male
ASKLEPIOS,Male
ASLAUG,Female
ASLEY,Female
ASLI,Female
ASLÖG,Female
ASLØG,Female
ASMA,Female
ASPASIA,Female
ASPEN,Female
ASSUMPCIÓ,Female
ASSUMPTA,Female
ASSUNTA,Female
ASTA,Female
ASTAROTH,Female
ASTARTE,Female
ASTOR,Male
ASTRA,Female
ASTRAEA,Female
ASTRID,Female
ASTRITHR,Female
ASTROPHEL,Male
ASUNCION,Female
ASUNCIÓN,Female
ASYA,Female
ATA,Male
ATALANTA,Female
ATALLAH,Male
ATARA,Female
ATARAH,Female
ATAULLAH,Male
ATEFEH,Female
ATHANAS,Male
ATHANASIA,Female
ATHANASIOS,Male
ATHANASIUS,Male
ATHELSTAN,Male
ATHENA,Female
ATHENIAS,Female
ATIENO,Female
ATILIO,Male
ATÍLIO,Male
ATIYA,Female
ATLAS,Male
ATTICUS,Male
ATTILA,Male
ATTILIO,Male
AUBERON,Male
AUBREE,Female
AUBREY,Male
AUDE,Female
AUDIE,Female
AUDLEY,Male
AUDRA,Female
AUDREA,Female
AUDREY,Female
AUDRIA,Female
AUDRIE,Female
AUDRY,Female
AUGUST,Male
AUGUSTA,Female
AUGUSTE,Male
AUGUSTIJN,Male
AUGUSTIN,Male
AUGUSTINA,Female
AUGUSTINE,Male
AUGUSTO,Male
AUGUSTS,Male
AUGUSTUS,Male
AUKUSTI,Male
AULAY,Male
AULUS,Male
AUNDREA,Female
AUNE,Female
AURA,Female
AURANGZEB,Male
AUREA,Female
AUREL,Male
AURÈLE,Male
AURELIA,Female
AURELIANO,Male
AURÉLIE,Female
AURELIEN,Male
AURELIO,Male
AURELIUS,Male
AUREOLE,Female
AURORA,Female
AURORE,Female
AUSRA,Female
AUSTEN,Male
AUSTIN,Male
AUSTYN,Male
AVA,Female
AVALON,Female
AVDOTYA,Female
AVEDIS,Male
AVELINA,Female
AVELINE,Female
AVERILL,Male
AVERY,Male
AVI,Male
AVIA,Female
AVICE,Female
AVIDAN,Male
AVILA,Female
AVIRAM,Male
AVIS,Female
AVISHAI,Male
AVITUS,Male
AVIV,Male
AVIVA,Female
AVNER,Male
AVRA,Female
AVRAHAM,Male
AVRAM,Male
AVRIL,Female
AVRUM,Male
AWILDA,Female
AWOTWI,Male
AWSTIN,Male
AXEL,Male
AXELLE,Female
AYA,Female
AYAKO,Female
AYALA,Female
AYANA,Female
AYANNA,Female
AYDIN,Male
AYELET,Female
AYESHA,Female
AYGÜL,Female
AYISHAH,Female
AYLA,Female
AYLMER,Male
AYN,Female
AYO,Female
AYOMIDE,Female
AYSEL,Female
AYSUN,Female
AZALEA,Female
AZALEE,Female
AZAREL,Male
AZARIA,Male
AZARIAH,Male
AZARIAS,Male
AZENETH,Female
AZIZ,Male
AZRAEL,Male
AZUBAH,Female
AZUCENA,Female
AZUOLAS,Male
AZURA,Female
AZURE,Female
AZZIE,Female
BAAKO,Male
BAAL,Male
BABAJIDE,Male
BABAK,Male
BABAR,Male
BABARA,Female
BABATUNDE,Male
BABER,Male
BABETTE,Female
BABIRYE,Female
BABS,Female
BABUR,Male
BACCHUS,Male
BADR,Male
BAHA,Male
BAHIGA,Female
BAHIJ,Male
BAHIJA,Female
BAHIYYA,Female
BAHMAN,Male
BAHRAM,Male
BAI,Male
BAILA,Female
BAILEE,Female
BÁIRBRE,Female
BAKR,Male
BALA,Male
BALÁZS,Male
BALDASSARE,Male
BALDER,Male
BALDEV,Male
BALDO,Male
BALDOMERO,Male
BALDRIC,Male
BALDUR,Male
BALDWIN,Male
BALFOUR,Male
BÁLINT,Male
BALTASAR,Male
BALTAZAR,Male
BALTHASAR,Male
BALTHAZAR,Male
BAMBI,Female
BANDI,Male
BANU,Female
BAPTIST,Male
BAPTISTE,Male
BAQIR,Male
BARABAL,Female
BARABARA,Female
BARAK,Male
BARAKAT,Male
BARB,Female
BARBAR,Female
BARBARA,Female
BÁRBARA,Female
BARBERA,Female
BARBIE,Female
BARBORA,Female
BARBRA,Female
BARBRO,Female
BARCLAY,Male
BARI,Female
BARIS,Male
BARLAAM,Male
BARNA,Male
BARNABAS,Male
BARNABÁS,Male
BARNABÉ,Male
BARNABY,Male
BARNEY,Male
BARRA,Male
BARRET,Male
BARRETT,Male
BARRIE,Male
BARRY,Male
BART,Male
BARTAL,Male
BARTEL,Male
BARTHÉLÉMY,Male
BARTHOLOMAUS,Male
BARTHOLOMEW,Male
BARTLOMIEJ,Male
BARTOLOMÉ,Male
BARTOLOMEO,Male
BARTON,Male
BARTOSZ,Male
BARUCH,Male
BAS,Male
BASAJAUN,Male
BASANT,Male
BASEMATH,Female
BASHE,Female
BASHEMATH,Female
BASIA,Female
BASIL,Male
BASILE,Male
BASILIA,Female
BASILIO,Male
BASIM,Male
BASMA,Female
BASMATH,Female
BASSAM,Male
BASSEM,Male
BASTIAAN,Male
BASTIAN,Male
BASTIEN,Male
BASU,Male
BASYA,Female
BATHSHEBA,Female
BATTISTA,Male
BATYA,Female
BATYAH,Female
BAUDOUIN,Male
BAUTISTA,Male
BAYLEE,Female
BEA,Female
BEARACH,Male
BEATA,Female
BEÁTA,Female
BEATE,Female
BEATHAG,Female
BEATHAN,Male
BEATRICE,Female
BÉATRICE,Female
BEATRIS,Female
BEATRIU,Female
BEATRIX,Female
BEATRIZ,Female
BEAU,Male
BEAULAH,Female
BEAUMONT,Male
BEAUREGARD,Male
BEAVIS,Male
BEBE,Female
BÉBHINN,Female
BÉBHIONN,Female
BÉBINN,Female
BECCA,Female
BECKA,Female
BECKAH,Female
BECKI,Female
BECKIE,Female
BECKY,Female
BEDE,Male
BEDELIA,Female
BEDIVERE,Male
BEDRICH,Male
BEDROS,Male
BEDWYR,Male
BEE,Female
BEELZEBUB,Male
BEHNAM,Male
BEHRAM,Male
BEHRUZ,Male
BÉIBHINN,Female
BEILEAG,Female
BEITRIS,Female
BEKKI,Female
BÉLA,Male
BELEN,Female
BELENUS,Male
BELGIN,Female
BELI,Male
BELIA,Female
BELINDA,Female
BELKIS,Female
BELL,Female
BELLA,Female
BELLE,Female
BELLONA,Female
BELPHOEBE,Female
BELVA,Female
BEN,Male
BENAIAH,Male
BENCE,Male
BENDIKS,Male
BENDT,Male
BENEDEK,Male
BENEDETTA,Female
BENEDETTO,Male
BENEDICT,Male
BENEDICTA,Female
BÉNÉDICTE,Female
BENEDIKT,Male
BENEDIKTA,Female
BENEDIKTE,Female
BENEDITA,Female
BENEDITO,Male
BENESH,Male
BENGT,Male
BENGTA,Female
BENIAMINO,Male
BENIGNA,Female
BENIGNO,Male
BENITA,Female
BENITO,Male
BENJAMIN,Male
BENJAMÍN,Male
BENJAMINE,Female
BENJY,Male
BENNETT,Male
BENNIE,Male
BENNO,Male
BENNY,Male
BENOIT,Male
BENOITE,Female
BENSON,Male
BENT,Male
BENTE,Female
BENTLEY,Male
BENTO,Male
BENTON,Male
BENVENUTO,Male
BEOWULF,Male
BEPPE,Male
BER,Male
BERACH,Male
BERENICE,Female
BERGLIOT,Female
BERGLJOT,Female
BERIT,Female
BERJOUHI,Female
BERK,Male
BERKANT,Male
BERKER,Male
BERLIN,Female
BERNA,Female
BERNADETT,Female
BERNADETTE,Female
BERNADINE,Female
BERNARD,Male
BERNARDA,Female
BERNARDETTA,Female
BERNARDINA,Female
BERNARDINE,Female
BERNARDINO,Male
BERNARDO,Male
BERNAT,Male
BERNÁT,Male
BERND,Male
BERNEICE,Female
BERNETTA,Female
BERNHARD,Male
BERNICE,Female
BERNIE,Male
BERNIECE,Female
BERNITA,Female
BERNT,Male
BERT,Male
BERTA,Female
BERTALAN,Male
BERTHA,Female
BERTHE,Female
BERTHOLD,Male
BERTINA,Female
BERTÓK,Male
BERTOLDO,Male
BERTRAM,Male
BERTRAND,Male
BERTRANDO,Male
BERWYN,Male
BERYL,Female
BESS,Female
